Tweet,Clean Tweet,Lower Tweet,Tokenize,Stemming,Stopwords,Filter By Length,Label
"@anteraja_id #BaiknyaRamadan itu jika kita saling berbagi untuk kebaikan bersama, bersama saling berlomba dlm kebaikan. Mempererat silaturahmi, menjaga kerukunan antar sesama baik dgn keluarga maupun orang sekitar. #PastiLebihBaik dgn menjadikan diri lbh baik dari hari kemarin🙏",BaiknyaRamadan itu jika kita saling berbagi untuk kebaikan bersama bersama saling berlomba dlm kebaikan Mempererat silaturahmi menjaga kerukunan antar sesama baik dgn keluarga maupun orang sekitar PastiLebihBaik dgn menjadikan diri lbh baik dari hari kemarin,baiknyaramadan itu jika kita saling berbagi untuk kebaikan bersama bersama saling berlomba dlm kebaikan mempererat silaturahmi menjaga kerukunan antar sesama baik dgn keluarga maupun orang sekitar pastilebihbaik dgn menjadikan diri lbh baik dari hari kemarin,"['baiknyaramadan', 'itu', 'jika', 'kita', 'saling', 'berbagi', 'untuk', 'kebaikan', 'bersama', 'bersama', 'saling', 'berlomba', 'dlm', 'kebaikan', 'mempererat', 'silaturahmi', 'menjaga', 'kerukunan', 'antar', 'sesama', 'baik', 'dgn', 'keluarga', 'maupun', 'orang', 'sekitar', 'pastilebihbaik', 'dgn', 'menjadikan', 'diri', 'lbh', 'baik', 'dari', 'hari', 'kemarin']","baiknyaramadan,itu,jika,kita,saling,bagi,untuk,baik,sama,sama,saling,lomba,dlm,baik,erat,silaturahmi,jaga,rukun,antar,sama,baik,dgn,keluarga,maupun,orang,sekitar,pastilebihbaik,dgn,jadi,diri,lbh,baik,dari,hari,kemarin","baiknyaramadan,itu,jika,kita,saling,bagi,untuk,baik,sama,sama,saling,lomba,dlm,baik,erat,silaturahmi,jaga,rukun,antar,sama,baik,dgn,keluarga,maupun,orang,sekitar,pastilebihbaik,dgn,jadi,diri,lbh,baik,dari,hari,kemarin","baiknyaramadan,jika,kita,saling,bagi,untuk,baik,sama,sama,saling,lomba,baik,erat,silaturahmi,jaga,rukun,antar,sama,baik,keluarga,maupun,orang,sekitar,pastilebihbaik,jadi,diri,baik,dari,hari,kemarin",netral
@anteraja_id @AnterajaCare Cek dm cepet,Cek dm cepet,cek dm cepet,"['cek', 'dm', 'cepet']","cek,dm,cepet","cek,dm,cepet",cepet,negatif
"@wwcd4x Hi Kak, jgn risau ya. Kendala paket kamu akan segera MinAja bantu. Yuk bisikin no resi kamu ke DM akun baru kami di @AnterajaCare spy privasimu terjaga. Trims :) ^PI",Hi Kak jgn risau ya Kendala paket kamu akan segera MinAja bantu Yuk bisikin no resi kamu ke DM akun baru kami di spy privasimu terjaga Trims PI,hi kak jgn risau ya kendala paket kamu akan segera minaja bantu yuk bisikin no resi kamu ke dm akun baru kami di spy privasimu terjaga trims pi,"['hi', 'kak', 'jgn', 'risau', 'ya', 'kendala', 'paket', 'kamu', 'akan', 'segera', 'minaja', 'bantu', 'yuk', 'bisikin', 'no', 'resi', 'kamu', 'ke', 'dm', 'akun', 'baru', 'kami', 'di', 'spy', 'privasimu', 'terjaga', 'trims', 'pi']","hi,kak,jgn,risau,ya,kendala,paket,kamu,akan,segera,maja,bantu,yuk,bisikin,no,resi,kamu,ke,dm,akun,baru,kami,di,spy,privasi,jaga,trims,pi","hi,kak,jgn,risau,ya,kendala,paket,kamu,akan,segera,maja,bantu,yuk,bisikin,no,resi,kamu,ke,dm,akun,baru,kami,di,spy,privasi,jaga,trims,pi","risau,kendala,paket,kamu,akan,segera,maja,bantu,bisikin,resi,kamu,akun,baru,kami,privasi,jaga,trims",netral
"@flabbergst Hi Kak Thomas, jgn risau ya. Kendala paket kamu akan segera MinAja bantu. Yuk move DM ke akun baru kami di @AnterajaCare spy privasimu terjaga. Trims :) ^PI",Hi Kak Thomas jgn risau ya Kendala paket kamu akan segera MinAja bantu Yuk move DM ke akun baru kami di spy privasimu terjaga Trims PI,hi kak thomas jgn risau ya kendala paket kamu akan segera minaja bantu yuk move dm ke akun baru kami di spy privasimu terjaga trims pi,"['hi', 'kak', 'thomas', 'jgn', 'risau', 'ya', 'kendala', 'paket', 'kamu', 'akan', 'segera', 'minaja', 'bantu', 'yuk', 'move', 'dm', 'ke', 'akun', 'baru', 'kami', 'di', 'spy', 'privasimu', 'terjaga', 'trims', 'pi']","hi,kak,thomas,jgn,risau,ya,kendala,paket,kamu,akan,segera,maja,bantu,yuk,move,dm,ke,akun,baru,kami,di,spy,privasi,jaga,trims,pi","hi,kak,thomas,jgn,risau,ya,kendala,paket,kamu,akan,segera,maja,bantu,yuk,move,dm,ke,akun,baru,kami,di,spy,privasi,jaga,trims,pi","thomas,risau,kendala,paket,kamu,akan,segera,maja,bantu,move,akun,baru,kami,privasi,jaga,trims",netral
Kocak luu @anteraja_id udah bener di jogja tinggal kirim ke hub yg deket malah meroket keluar lagi. Gilaa lu https://t.co/uNsfprJuoK,Kocak luu udah bener di jogja tinggal kirim ke hub yg deket malah meroket keluar lagi Gilaa lu,kocak luu udah bener di jogja tinggal kirim ke hub yg deket malah meroket keluar lagi gilaa lu,"['kocak', 'luu', 'udah', 'bener', 'di', 'jogja', 'tinggal', 'kirim', 'ke', 'hub', 'yg', 'deket', 'malah', 'meroket', 'keluar', 'lagi', 'gilaa', 'lu']","kocak,luu,udah,bener,di,jogja,tinggal,kirim,ke,hub,yg,deket,malah,roket,keluar,lagi,gilaa,lu","kocak,luu,udah,bener,di,jogja,tinggal,kirim,ke,hub,yg,deket,malah,roket,keluar,lagi,gilaa,lu","kocak,udah,bener,jogja,tinggal,kirim,deket,malah,roket,keluar,lagi,gilaa",negatif
"@anteraja_id Dear @Anteraja 
Definisi #BaiknyaRamadan versi aku adalah Ketika ibadah makin taat, iman makin meningkat, melakukan hal-hal yang penuh manfaat, dan selalu menabur kebaikan kepada masyarakat. Supaya bahagia dunia akhirat ✨ 
#PastiLebihBaik",Dear Definisi BaiknyaRamadan versi aku adalah Ketika ibadah makin taat iman makin meningkat melakukan halhal yang penuh manfaat dan selalu menabur kebaikan kepada masyarakat Supaya bahagia dunia akhirat PastiLebihBaik,dear definisi baiknyaramadan versi aku adalah ketika ibadah makin taat iman makin meningkat melakukan halhal yang penuh manfaat dan selalu menabur kebaikan kepada masyarakat supaya bahagia dunia akhirat pastilebihbaik,"['dear', 'definisi', 'baiknyaramadan', 'versi', 'aku', 'adalah', 'ketika', 'ibadah', 'makin', 'taat', 'iman', 'makin', 'meningkat', 'melakukan', 'halhal', 'yang', 'penuh', 'manfaat', 'dan', 'selalu', 'menabur', 'kebaikan', 'kepada', 'masyarakat', 'supaya', 'bahagia', 'dunia', 'akhirat', 'pastilebihbaik']","dear,definisi,baiknyaramadan,versi,aku,adalah,ketika,ibadah,makin,taat,iman,makin,tingkat,laku,halhal,yang,penuh,manfaat,dan,selalu,tabur,baik,kepada,masyarakat,supaya,bahagia,dunia,akhirat,pastilebihbaik","dear,definisi,baiknyaramadan,versi,aku,adalah,ketika,ibadah,makin,taat,iman,makin,tingkat,laku,halhal,yang,penuh,manfaat,dan,selalu,tabur,baik,kepada,masyarakat,supaya,bahagia,dunia,akhirat,pastilebihbaik","dear,definisi,baiknyaramadan,versi,adalah,ketika,ibadah,makin,taat,iman,makin,tingkat,laku,halhal,yang,penuh,manfaat,selalu,tabur,baik,kepada,masyarakat,supaya,bahagia,dunia,akhirat,pastilebihbaik",netral
@anteraja_id @AnterajaCare Mana?? Janji2 aja diusut tapi ga ada kepastian @anteraja_id @AnterajaCare,Mana Janji aja diusut tapi ga ada kepastian,mana janji aja diusut tapi ga ada kepastian,"['mana', 'janji', 'aja', 'diusut', 'tapi', 'ga', 'ada', 'kepastian']","mana,janji,aja,usut,tapi,ga,ada,pasti","mana,janji,aja,usut,tapi,ga,ada,pasti","mana,janji,usut,tapi,pasti",negatif
woi paket gue mana ya masa kalah cepet ni sampenya sama barang yg beli dari luar negeri @anteraja_id,woi paket gue mana ya masa kalah cepet ni sampenya sama barang yg beli dari luar negeri,woi paket gue mana ya masa kalah cepet ni sampenya sama barang yg beli dari luar negeri,"['woi', 'paket', 'gue', 'mana', 'ya', 'masa', 'kalah', 'cepet', 'ni', 'sampenya', 'sama', 'barang', 'yg', 'beli', 'dari', 'luar', 'negeri']","woi,paket,gue,mana,ya,masa,kalah,cepet,ni,sampenya,sama,barang,yg,beli,dari,luar,negeri","woi,paket,gue,mana,ya,masa,kalah,cepet,ni,sampenya,sama,barang,yg,beli,dari,luar,negeri","paket,mana,masa,kalah,cepet,sampenya,sama,barang,beli,dari,luar,negeri",negatif
"@AgusWaliyul Hi Kak Agus, jgn risau ya. Kendala paket kamu akan segera MinAja bantu. Yuk move DM ke akun baru kami di @AnterajaCare spy privasimu terjaga. Trims :) ^PI",Hi Kak Agus jgn risau ya Kendala paket kamu akan segera MinAja bantu Yuk move DM ke akun baru kami di spy privasimu terjaga Trims PI,hi kak agus jgn risau ya kendala paket kamu akan segera minaja bantu yuk move dm ke akun baru kami di spy privasimu terjaga trims pi,"['hi', 'kak', 'agus', 'jgn', 'risau', 'ya', 'kendala', 'paket', 'kamu', 'akan', 'segera', 'minaja', 'bantu', 'yuk', 'move', 'dm', 'ke', 'akun', 'baru', 'kami', 'di', 'spy', 'privasimu', 'terjaga', 'trims', 'pi']","hi,kak,agus,jgn,risau,ya,kendala,paket,kamu,akan,segera,maja,bantu,yuk,move,dm,ke,akun,baru,kami,di,spy,privasi,jaga,trims,pi","hi,kak,agus,jgn,risau,ya,kendala,paket,kamu,akan,segera,maja,bantu,yuk,move,dm,ke,akun,baru,kami,di,spy,privasi,jaga,trims,pi","agus,risau,kendala,paket,kamu,akan,segera,maja,bantu,move,akun,baru,kami,privasi,jaga,trims",netral
"@AgusWaliyul Hi Kak Agus, jgn risau ya. Kendala paket kamu akan segera MinAja bantu. Yuk bisikin no resi kamu ke DM akun baru kami di @AnterajaCare spy privasimu terjaga. Trims :) ^PI",Hi Kak Agus jgn risau ya Kendala paket kamu akan segera MinAja bantu Yuk bisikin no resi kamu ke DM akun baru kami di spy privasimu terjaga Trims PI,hi kak agus jgn risau ya kendala paket kamu akan segera minaja bantu yuk bisikin no resi kamu ke dm akun baru kami di spy privasimu terjaga trims pi,"['hi', 'kak', 'agus', 'jgn', 'risau', 'ya', 'kendala', 'paket', 'kamu', 'akan', 'segera', 'minaja', 'bantu', 'yuk', 'bisikin', 'no', 'resi', 'kamu', 'ke', 'dm', 'akun', 'baru', 'kami', 'di', 'spy', 'privasimu', 'terjaga', 'trims', 'pi']","hi,kak,agus,jgn,risau,ya,kendala,paket,kamu,akan,segera,maja,bantu,yuk,bisikin,no,resi,kamu,ke,dm,akun,baru,kami,di,spy,privasi,jaga,trims,pi","hi,kak,agus,jgn,risau,ya,kendala,paket,kamu,akan,segera,maja,bantu,yuk,bisikin,no,resi,kamu,ke,dm,akun,baru,kami,di,spy,privasi,jaga,trims,pi","agus,risau,kendala,paket,kamu,akan,segera,maja,bantu,bisikin,resi,kamu,akun,baru,kami,privasi,jaga,trims",netral
