Filter By Length,Label,Kata,TF-IDF
"banget,layan,udah,pick,request,didiemin,doang,airport,kota,lelet,kerja",negatif,"['banget', 'layan', 'udah', 'pick', 'request', 'didiemin', 'doang', 'airport', 'kota', 'lelet', 'kerja']","{'banget': 1, 'layan': 1, 'udah': 1, 'pick': 1, 'request': 1, 'didiemin': 1, 'doang': 1, 'airport': 1, 'kota': 1, 'lelet': 1, 'kerja': 1}"
"sortir,gudang,sunternya,manual,sampe,ngestuck,minggu",negatif,"['sortir', 'gudang', 'sunternya', 'manual', 'sampe', 'ngestuck', 'minggu']","{'sortir': 1, 'gudang': 1, 'sunternya': 1, 'manual': 1, 'sampe': 1, 'ngestuck': 1, 'minggu': 1}"
"paket,sampe,lohh,pake,layan,nexday",negatif,"['paket', 'sampe', 'lohh', 'pake', 'layan', 'nexday']","{'paket': 1, 'sampe': 1, 'lohh': 1, 'pake': 1, 'layan': 1, 'nexday': 1}"
"hubung,jual,ekspedisi",negatif,"['hubung', 'jual', 'ekspedisi']","{'hubung': 1, 'jual': 1, 'ekspedisi': 1}"
"halo,admin,paket,muter,muter,udah,sukoharjo,tinggal,alamat,rumah,semarang,gajelas,banget",negatif,"['halo', 'admin', 'paket', 'muter', 'muter', 'udah', 'sukoharjo', 'tinggal', 'alamat', 'rumah', 'semarang', 'gajelas', 'banget']","{'halo': 1, 'admin': 1, 'paket': 1, 'muter': 2, 'udah': 1, 'sukoharjo': 1, 'tinggal': 1, 'alamat': 1, 'rumah': 1, 'semarang': 1, 'gajelas': 1, 'banget': 1}"
"moga,label,haram,pakai,jasa,ekspedisi,biang,musibah,moga,anteraja,cepet,tutup,bangkrut",negatif,"['moga', 'label', 'haram', 'pakai', 'jasa', 'ekspedisi', 'biang', 'musibah', 'moga', 'anteraja', 'cepet', 'tutup', 'bangkrut']","{'moga': 2, 'label': 1, 'haram': 1, 'pakai': 1, 'jasa': 1, 'ekspedisi': 1, 'biang': 1, 'musibah': 1, 'anteraja': 1, 'cepet': 1, 'tutup': 1, 'bangkrut': 1}"
"mending,rebranding,anter,suka,suka,kurir,nganter,paket,nyasar,rumah,gatau,rumah,gimana",negatif,"['mending', 'rebranding', 'anter', 'suka', 'suka', 'kurir', 'nganter', 'paket', 'nyasar', 'rumah', 'gatau', 'rumah', 'gimana']","{'mending': 1, 'rebranding': 1, 'anter': 1, 'suka': 2, 'kurir': 1, 'nganter': 1, 'paket': 1, 'nyasar': 1, 'rumah': 2, 'gatau': 1, 'gimana': 1}"
"alami,kaksama,gaktau,kalo,ekspedisi,barang,kakak",negatif,"['alami', 'kaksama', 'gaktau', 'kalo', 'ekspedisi', 'barang', 'kakak']","{'alami': 1, 'kaksama': 1, 'gaktau': 1, 'kalo': 1, 'ekspedisi': 1, 'barang': 1, 'kakak': 1}"
"tuhhh,gimana,kemarin,tunda,mulu,operasional",negatif,"['tuhhh', 'gimana', 'kemarin', 'tunda', 'mulu', 'operasional']","{'tuhhh': 1, 'gimana': 1, 'kemarin': 1, 'tunda': 1, 'mulu': 1, 'operasional': 1}"
"refund,nder,untung,paking,nder,admin,barang,udah,beliin,bener,bener,rugi,refund,dapet,duit,engga,rugi,gimana,selesai,bener",negatif,"['refund', 'nder', 'untung', 'paking', 'nder', 'admin', 'barang', 'udah', 'beliin', 'bener', 'bener', 'rugi', 'refund', 'dapet', 'duit', 'engga', 'rugi', 'gimana', 'selesai', 'bener']","{'refund': 2, 'nder': 2, 'untung': 1, 'paking': 1, 'admin': 1, 'barang': 1, 'udah': 1, 'beliin': 1, 'bener': 3, 'rugi': 2, 'dapet': 1, 'duit': 1, 'engga': 1, 'gimana': 1, 'selesai': 1}"
"tolong,fitur,sameday,hapus,pake,sameday,prnh,kurir,suka,bikin,update,palsu,mendelay,pickup,paket",negatif,"['tolong', 'fitur', 'sameday', 'hapus', 'pake', 'sameday', 'prnh', 'kurir', 'suka', 'bikin', 'update', 'palsu', 'mendelay', 'pickup', 'paket']","{'tolong': 1, 'fitur': 1, 'sameday': 2, 'hapus': 1, 'pake': 1, 'prnh': 1, 'kurir': 1, 'suka': 1, 'bikin': 1, 'update': 1, 'palsu': 1, 'mendelay': 1, 'pickup': 1, 'paket': 1}"
"banget,kayak,paket,guedijakut,bensin,anter,hilang,dicancel,kasi,jualanpadahal,ulah",negatif,"['banget', 'kayak', 'paket', 'guedijakut', 'bensin', 'anter', 'hilang', 'dicancel', 'kasi', 'jualanpadahal', 'ulah']","{'banget': 1, 'kayak': 1, 'paket': 1, 'guedijakut': 1, 'bensin': 1, 'anter': 1, 'hilang': 1, 'dicancel': 1, 'kasi': 1, 'jualanpadahal': 1, 'ulah': 1}"
"halo,paket,resi,nyangkut,terang,delivery,tunda,operasional,same,makan,kalo,basi",negatif,"['halo', 'paket', 'resi', 'nyangkut', 'terang', 'delivery', 'tunda', 'operasional', 'same', 'makan', 'kalo', 'basi']","{'halo': 1, 'paket': 1, 'resi': 1, 'nyangkut': 1, 'terang': 1, 'delivery': 1, 'tunda': 1, 'operasional': 1, 'same': 1, 'makan': 1, 'kalo': 1, 'basi': 1}"
"ngga,ngga,babi",negatif,"['ngga', 'ngga', 'babi']","{'ngga': 2, 'babi': 1}"
"info,paket,mint",negatif,"['info', 'paket', 'mint']","{'info': 1, 'paket': 1, 'mint': 1}"
"walaaah,admin,please,pakai,kirim",negatif,"['walaaah', 'admin', 'please', 'pakai', 'kirim']","{'walaaah': 1, 'admin': 1, 'please': 1, 'pakai': 1, 'kirim': 1}"
"sameday,sameday,kucing",negatif,"['sameday', 'sameday', 'kucing']","{'sameday': 2, 'kucing': 1}"
"arti,paket,lambat,besok,airport,tuju,langsung,kirim,estimasi,lambat,minggu,mimin,minggu,libur,sampe,besok,siang,sore,status,barang,terima,arti",negatif,"['arti', 'paket', 'lambat', 'besok', 'airport', 'tuju', 'langsung', 'kirim', 'estimasi', 'lambat', 'minggu', 'mimin', 'minggu', 'libur', 'sampe', 'besok', 'siang', 'sore', 'status', 'barang', 'terima', 'arti']","{'arti': 2, 'paket': 1, 'lambat': 2, 'besok': 2, 'airport': 1, 'tuju': 1, 'langsung': 1, 'kirim': 1, 'estimasi': 1, 'minggu': 2, 'mimin': 1, 'libur': 1, 'sampe': 1, 'siang': 1, 'sore': 1, 'status': 1, 'barang': 1, 'terima': 1}"
"tolong,pickup,paket,cepat,rumah,ngga,ambil",negatif,"['tolong', 'pickup', 'paket', 'cepat', 'rumah', 'ngga', 'ambil']","{'tolong': 1, 'pickup': 1, 'paket': 1, 'cepat': 1, 'rumah': 1, 'ngga': 1, 'ambil': 1}"
"entaraja,cepet,pick,paket,resi,puasa,bikin,gondok,pick,lelet",negatif,"['entaraja', 'cepet', 'pick', 'paket', 'resi', 'puasa', 'bikin', 'gondok', 'pick', 'lelet']","{'entaraja': 1, 'cepet': 1, 'pick': 2, 'paket': 1, 'resi': 1, 'puasa': 1, 'bikin': 1, 'gondok': 1, 'lelet': 1}"
"nyampe,paket,tutup,mending",negatif,"['nyampe', 'paket', 'tutup', 'mending']","{'nyampe': 1, 'paket': 1, 'tutup': 1, 'mending': 1}"
"cant,relate",negatif,"['cant', 'relate']","{'cant': 1, 'relate': 1}"
"tanggap,gimana,nihgagal,stadion,bawa,anteraja",negatif,"['tanggap', 'gimana', 'nihgagal', 'stadion', 'bawa', 'anteraja']","{'tanggap': 1, 'gimana': 1, 'nihgagal': 1, 'stadion': 1, 'bawa': 1, 'anteraja': 1}"
"mnding,ganti,nama,entar,drpd,anter",negatif,"['mnding', 'ganti', 'nama', 'entar', 'drpd', 'anter']","{'mnding': 1, 'ganti': 1, 'nama': 1, 'entar': 1, 'drpd': 1, 'anter': 1}"
"nemu,search,paket,kakak,kabar,paket,kayak",negatif,"['nemu', 'search', 'paket', 'kakak', 'kabar', 'paket', 'kayak']","{'nemu': 1, 'search': 1, 'paket': 2, 'kakak': 1, 'kabar': 1, 'kayak': 1}"
